         112120 function calls (108921 primitive calls) in 0.346 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      299    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
    345/1    0.000    0.000    0.345    0.345 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     2630    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
      231    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
      177    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      395    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:376(cached)
      444    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:389(parent)
      222    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:397(has_location)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(spec_from_loader)
      222    0.003    0.000    0.013    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
  222/220    0.001    0.000    0.037    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
      234    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
    222/1    0.002    0.000    0.345    0.345 <frozen importlib._bootstrap>:650(_load_unlocked)
      231    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(create_module)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:754(exec_module)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:771(is_package)
      535    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(acquire)
      227    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:800(find_spec)
      685    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:863(__enter__)
      685    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:867(__exit__)
      231    0.003    0.000    0.052    0.000 <frozen importlib._bootstrap>:890(_find_spec)
    236/1    0.002    0.000    0.346    0.346 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
    236/1    0.002    0.000    0.346    0.346 <frozen importlib._bootstrap>:986(_find_and_load)
      177    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1010(path_stats)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:104(_path_isdir)
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1088(__init__)
    41/40    0.000    0.000    0.022    0.001 <frozen importlib._bootstrap_external>:1099(create_module)
    41/33    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1107(exec_module)
       24    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1252(_path_hooks)
      573    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1265(_path_importer_cache)
      227    0.004    0.000    0.044    0.000 <frozen importlib._bootstrap_external>:1302(_get_spec)
      227    0.001    0.000    0.045    0.000 <frozen importlib._bootstrap_external>:1334(find_spec)
       24    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1394(__init__)
      192    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1400(<genexpr>)
      218    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1426(_get_spec)
      487    0.009    0.000    0.036    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
       24    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1479(_fill_cache)
       24    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1520(path_hook_for_FileFinder)
      354    0.004    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:294(cache_from_source)
      487    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
      218    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:424(_get_cached)
      177    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:456(_check_name_wrapper)
      177    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:493(_classify_pyc)
      531    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
      177    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:526(_validate_timestamp_pyc)
      177    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
     2478    0.006    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
      218    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:629(spec_from_file_location)
     2478    0.006    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
      354    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
      177    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:774(create_module)
    177/1    0.001    0.000    0.345    0.345 <frozen importlib._bootstrap_external>:777(exec_module)
     1020    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
      177    0.003    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:849(get_code)
      332    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
      177    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:939(__init__)
      177    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:964(get_filename)
      177    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:969(get_data)
      308    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
       24    0.000    0.000    0.000    0.000 <frozen zipimport>:63(__init__)
       16    0.000    0.000    0.000    0.000 <string>:1(<module>)
      677    0.001    0.000    0.002    0.000 <string>:1(__new__)
        1    0.000    0.000    0.000    0.000 <string>:1(to_binary)
        1    0.000    0.000    0.000    0.000 ElementPath.py:334(_SelectorContext)
        1    0.000    0.000    0.004    0.004 ElementPath.py:59(<module>)
        1    0.000    0.000    0.008    0.008 ElementTree.py:1(<module>)
